date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:50:32	66230/66230	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20May%202023%2017:50:31%20GMT	/en/projects/point-138-1e	C:/My%20Web%20Sites/canwood//en/projects/point-138-1e.html	(from /en)
22:50:32	41464/41464	---M--	200	added ('OK')	image/jpeg	etag:%2292eba58fc7f940d25986c8dfaf1e4969%22	https://media.jaygroupplc.pl/box/v1/uploads/media/63e4d05be9334/point-138-1e-przod-09022023.png	C:/My%20Web%20Sites/canwood/media.jaygroupplc.pl/box/v1/uploads/media/63e4d05be9334/point-138-1e-przod-09022023.jpg	(from /en)
22:50:33	69257/69257	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20May%202023%2017:50:32%20GMT	/en/projects/point-139e	C:/My%20Web%20Sites/canwood//en/projects/point-139e.html	(from /en)
22:50:33	42340/42340	---M--	200	added ('OK')	image/jpeg	etag:%227698c6f7f9f69459d765b34e519e8aac%22	https://media.jaygroupplc.pl/box/v1/uploads/media/5c056e7967248/point-139e-0000.jpg	C:/My%20Web%20Sites/canwood/media.jaygroupplc.pl/box/v1/uploads/media/5c056e7967248/point-139e-0000.jpg	(from /en)
22:50:35	69469/69469	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20May%202023%2017:50:34%20GMT	/en/projects/point-140-13e	C:/My%20Web%20Sites/canwood//en/projects/point-140-13e.html	(from /en)
22:50:35	39792/39792	---M--	200	added ('OK')	image/jpeg	etag:%2285e71e261c927f7d085caf9e41b41023%22	https://media.jaygroupplc.pl/box/v1/uploads/media/5c056efb98391/point-140-13e-0000.jpg	C:/My%20Web%20Sites/canwood/media.jaygroupplc.pl/box/v1/uploads/media/5c056efb98391/point-140-13e-0000.jpg	(from /en)
22:50:36	66103/66103	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20May%202023%2017:50:36%20GMT	/en/projects/point-148-1e	C:/My%20Web%20Sites/canwood//en/projects/point-148-1e.html	(from /en)
22:50:36	34208/34208	---M--	200	added ('OK')	image/jpeg	etag:%224dcaf81a00ff345e3c179f58a172586b%22	https://media.jaygroupplc.pl/box/v1/uploads/media/6437b60df26ba/point148-1e-1-photo-2.jpg	C:/My%20Web%20Sites/canwood/media.jaygroupplc.pl/box/v1/uploads/media/6437b60df26ba/point148-1e-1-photo-2.jpg	(from /en)
22:50:38	68408/68408	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20May%202023%2017:50:37%20GMT	/en/projects/living-point-150e	C:/My%20Web%20Sites/canwood//en/projects/living-point-150e.html	(from /en)
22:50:38	35978/35978	---M--	200	added ('OK')	image/jpeg	etag:%22682000890173fd72be5a8b95a0304131%22	https://media.jaygroupplc.pl/box/v1/uploads/media/5c056af88ec31/living-point-150e-0001.jpg	C:/My%20Web%20Sites/canwood/media.jaygroupplc.pl/box/v1/uploads/media/5c056af88ec31/living-point-150e-0001.jpg	(from /en)
